㑳,zhòu
腔調,qiāngdiào
腕,wàn
腕子,wànzi
腛,wò
腜,méi
腠,còu
腡,luó
腡肌,luóji
腤,ān
腥,xīng
腥風血雨,xīngfēngxièyǔ
腦,nǎo
腦中風,nǎozhòngfēng
腦充血,nǎochōngxuè
腦兒,nǎor
腦出血,nǎochūxiě
腦子,nǎozi
腦杓子,nǎosháozi
腦液,nǎoyè
腦溢血,nǎoyìxiě
腦瓜頂兒,nǎoguādǐngr
腦瓢兒,nǎopiáor
腦膜,nǎomó
腦血管栓塞,nǎoxiěguǎnshuānsè
腦袋,nǎodai
腦袋搬家,nǎodaibānjiā
腦袋瓜子,nǎodaiguāzi
腦袋疼,nǎodaiténg
腦貧血,nǎopínxiě
腦量,nǎoliàng
腦鑿子,nǎozáozi
腦門兒錢,nǎo　ménr　qián　(變)nǎo　mér　qián
腧,shù
腩,nǎn
腫,zhǒng
腮,sāi
腮幫子,sāibāngzi
腯,tú
腰,yāo
腰子,yāozi
腰把子,yāobǎzi
腰板兒,yāobǎnr(變)yāobǎr
腰桿子,yāogǎnzi
腰窩兒,yāowōr
腰站兒,yāozhànr(變)yāozhàr
腰褡子,yāodāzi
腰金衣紫,yāojīnyìzǐ
腰鋪,yāopù
腰頭硬,yāotouyìng
腱,jiàn
腱子,jiànzi
腳,（語音）jiǎo
腳下,jiǎoxià
腳下人,jiǎoxiàrén
腳不沾地,jiǎobùzhāndì
腳不點地,jiǎobùdiǎndì
腳丫子,jiǎoyāzi
腳價,jiǎojià
腳划船,jiǎohuáchuán
腳力,jiǎolì
腳勁,jiǎojìn
腳印,jiǎoyìn
腳叉,jiǎochā
腳夫,jiǎofū
腳婆,jiǎopó
腳子,jiǎozi
腳席,jiǎoxí
腳底,jiǎodǐ
腳底下,jiǎodǐxia
腳底下人,jiǎodǐxiàrén
腳底抹油,jiǎodǐmǒyóu
腳底板兒,jiǎodǐbǎnr(變)jiǎodǐbǎr
腳店,jiǎodiàn
腳後跟,jiǎohòugēn
腳心,jiǎoxīn
腳忙手亂,jiǎomángshǒuluàn
腳戶,jiǎohù
腳手,jiǎoshǒu
腳手架,jiǎoshǒujià
腳打著腦杓子,jiǎodǎzhenǎosháozi
腳扣,jiǎokòu
腳本,jiǎoběn
腳板,jiǎobǎn
腳架,jiǎojià
腳梢天,jiǎoshāotiān
腳樣兒,jiǎoyàngr
腳步,jiǎobù
腳步錢,jiǎobùqián
腳氣病,jiǎoqìbìng
腳注,jiǎozhù
腳燈,jiǎodēng
腳爐,jiǎolú
腳癬,jiǎoxiǎn
腳登子,jiǎodēngzi
腳盆,jiǎopén
腳硬,jiǎoyìng
腳程,jiǎochéng
腳稍,jiǎoshāo
腳線,jiǎoxiàn
腳背,jiǎobèi
腳脖子,jiǎobózi
腳脛,jiǎojìng
腳腕子,jiǎowànzi
腳船,jiǎochuán
腳色,jiǎosè
腳行,jiǎoháng
腳註,jiǎozhù
腳趾,jiǎozhǐ
腳跟,jiǎogēn
腳跟大事,jiǎogēndàshì
腳跡,jiǎojī
腳路,jiǎolù
腳踏,jiǎotà
腳踏倒鹽,jiǎotàdàoyán
腳踏兩來舡,jiǎotàliǎngláixiāng
腳踏兩條船,jiǎotàliǎngtiáochuán
腳踏實地,jiǎotàshídì
腳踏板,jiǎotàbǎn
腳踏車,jiǎotàchē
腳踝,jiǎohuái
腳邊路,jiǎobiānlù
腳錢,jiǎoqián
腳鐐,jiǎoliáo
腳鐐手銬,jiǎoliáoshǒukào
腳門,jiǎomén
腳面,jiǎomiàn
腳頭,jiǎotóu
腳頭亂,jiǎotóuluàn
腳頭妻,jiǎotóuqī
腳驢,jiǎolǘ
腳高步低,jiǎogāobùdī
腳魚,jiǎoyú
腳鴨子,jiǎoyāzi
腴,yú
腶,duàn
腷,bì
腸,cháng
腸子,chángzi
腸液,chángyè
腸肥腦滿,chángféimǎnnǎo
腹,fù
腹便便,fùpiánpián
腺,xiàn
腼,miǎn
腿,tuǐ
腿子,tuǐzi
腿肚子,tuǐdùzi
腿腕子,tuǐwànzi
腿腳,tuǐjiǎo
膀,bǎng
膀子,bǎngzi
膀胱,pángguāng
膀胱炎,pángguāngyán
膀胱癌,pángguāngyán　（又音）pángguāngái
膀胱鏡,pángguāngjìng
膂,lǚ
膃,wà
膆,sù
膇,zhuì
膈,gé
膈肢,gézhi
膈肢窩,gézhiwō
膈膜,gémó
膊,bó
膋,liáo
膍,pí
膏,gāo
膏子,gāozi
膏藥油子,gāoyàoyóuzi
膏血,gāoxuè
膗,chuái
膘,biāo
膚,fū
膚如刻畫,fūrúkēhuà
膛,táng
膜,mò
膜拜,móbài
膝,xī
膞,zhuān
膠,jiāo
膠元蛋白,jiāoyuándànbái
膠卷,jiāojuǎn
膠濟鐵路,jiāojǐtiělù
膠皮車,jiāopíchē
膠著,jiāozhuó
膠著狀態,jiāozhuózhuàngtài
膣,zhì
膣液,zhìyè
膦,liǎn
膨,péng
膩,nì
膩子,nìzi
膩抹,nìmo
膩抹兒,nìmǒr
膩的慌,nìdehuang
膩糊,nìhu
膪,chuài
膬,cuì
膮,xiāo
膰,fán
膱,zhí
膳,shàn
膴,hū
膴仕,wǔshì
膴膴,wǔwǔ
膵,cuì
膷,xiāng
膹,fèn
膺,yīng
膻,shān
膻中,dànzhōng
膽,dǎn
膽喪心驚,dǎnsàngxīnjīng
膽子,dǎnzi
膽怯,dǎnquè
膽量,dǎnliàng
膾,kuài
膿,nóng
膿血,nóngxiě
膿血債,nóngxiězhài
臀,tún
臁,lián
臁兒骨,liánr　gǔ　(變)liár　gǔ
臂,bì
臃,yōng
臄,jué
臅,chù
臆,yì
臆度,yìduò
臉,liǎn
臉上一陣紅一陣白,liǎnshàngyīzhènhóngyīzhènbái
臉上掛了招牌,liǎnshàngguàlezhāopái
臉上開果子鋪,liǎnshàngkāiguǒzipù
臉兒,liǎnr(變)liǎr
臉子,liǎnzi
臉巴子,liǎnbāzi
臉白氣噎,liǎnbáiqìyē
臉皮薄,liǎnpíbáo
臉盤兒,liǎnpánr(變)liǎnpár
臉紅脖子粗,liǎnhóngbózicū
臉膛兒,liǎntángr
臉都綠了,liǎndōulǜle
臉面,liǎnmian
臉面之情,liǎnmianzhīqíng
臊,sāo
臊一鼻子灰,sàoyībízihuī
臊子,sàozi
臊皮,sàopí
臌,gǔ
臍,qí
臏,bìn
臏腳,bìnjiǎo
臐,xūn
臑,rú
臕,biāo
臗,kuān
臘,là
臘八粥,làbāzhōu
臚,lú
臛,huò
臝,luǒ
臞,qú
臟,zàng
臠,luán
臢,zāng
臣,chén
臤,qiān
臥,wò
臥人兒,wò　rénr　(變)wò　rér
臥兔兒,wòtùr
臥果兒,wòguǒr
臥車,wòchē
臥鋪,wòpù
臧,zāng
臧否,zāngpǐ
臧否人物,zāngpǐrénwù
臨,lín
臨危自省,línwéizìxǐng
臨場,línchǎng
臨場感,línchǎnggǎn
臨帖,líntiè
臨時抱佛腳,línshíbàofójiǎo
臨朝,líncháo
臨機應變,línjīyìngbiàn
臨機處置,línjīchǔzhì
臨死不怯,línsǐbùquè
臨江折軸,línjiāngzhézhú
臨深履薄,línshēnlǚbó
臨淵履薄,línyuānlǚbó
臨門一腳,línményījiǎo
臨難,línnàn
臨難不屈,línnànbùqū
臨難不恐,línnànbùkǒng
臨難不懼,línnànbùjù
臨難不懾,línnànbùzhé
臨難不避,línnànbùbì
臨難無懾,línnànwúzhé
臨難苟免,línnàngǒumiǎn
臨難鑄兵,línnànzhùbīng
臨風搖曳,línfēngyáoyì
自,zì
自不量力,zìbùliànglì
自伐,zìfá
自作自受,zìzuōzìshòu
自作自用,zìzuōzìyòng
自個兒,zìgěr
自傳,zìzhuàn
自分,zìfèn
自力更生,zìlìgèngshēng
自動資料處理系統,zìdòngzīliàochǔlǐxìtǒng
自古紅顏多薄命,zìgǔhóngyánduōbómìng
自好,zìhào
自導自演,zìdǎozìyǎn
自度,zìduò
自度曲,zìdùqǔ
自得其樂,zìdéqílè
自怨自艾,zìyuànzìyì
自感應,zìgǎnyìng
自我,zìwǒ
自我中心,zìwǒzhōngxīn
自我介紹,zìwǒjièshào
自我作古,zìwǒzuògǔ
自我作故,zìwǒzuògù
自我反省,zìwǒfǎnxǐng
自我吹噓,zìwǒchuīxū
自我實現,zìwǒshíxiàn
自我批評,zìwǒpīpíng
自我期許,zìwǒqíxǔ
自我肯定,zìwǒkěndìng
自我表現,zìwǒbiǎoxiàn
自我解嘲,zìwǒjiěcháo
自我陶醉,zìwǒtáozuì
自打嘴巴,zìdǎzuǐba
自找麻煩,zìzhǎomáfan
自敘帖,zìxùtiè
自然利率,zìránlìlǜ
自然增加率,zìránzēngjiālǜ
自然接種,zìránjiēzhòng
自然率,zìránlǜ
自用車,zìyòngchē
自由稅率,zìyóushuìlǜ
自由車,zìyóuchē
自白,zìbó
自白書,zìbóshū
自省,zìxǐng
自耕農,zìgēngnóng
自處,zìchǔ
自行車,zìxíngchē
自行車馬球,zìxíngchēmǎqiú
自見,zìxiàn
自見者不明,zìxiànzhěbùmíng
自討沒趣,zìtǎoméiqù
自轉,zìzhuàn
自量,zìliàng
自體輸血,zìtǐshūxiě
臬,niè
臭,chòu
臭味,xiùwèi
臭味相投,xiùwèixiāngtóu
臭嚼,chòujiáo
臭排場,chòupáichang
臭架子,chòujiàzi
臭腳丫子,chòujiǎoyāzi
臭覺,xiùjué
臭豆腐,chòudòufu
臲,niè
至,zhì
至樂,zhìlè
至當,zhìdàng
至行,zhìxìng
致,zhì
臷,dié
臷國,zhìguó
臺,tái
臺北地理資訊系統,táiběidìlǐzīxùnxìtǒng
臺北大學,táiběidàxué
臺北市,táiběishì
臺北市喜願協會,táiběishìxǐyuànxiéhuì
臺北市政府捷運工程局,táiběishìzhèngfǔjiéyùngōngchéngjú
臺北捷運中和線,táiběijiéyùnzhōnghéxiàn
臺北捷運新店線,táiběijiéyùnxīndiànxiàn
臺北捷運木柵線,táiběijiéyùnmùzhàxiàn
臺北捷運淡水線,táiběijiéyùndànshuǐxiàn
臺北盆地,táiběipéndì
臺北科技大學,táiběikējìdàxué
臺北縣,táiběixiàn
臺北醫學大學,táiběiyīxuédàxué
臺灣銀行,táiwānyínháng
臺車,táichē
臺車道,táichēdào
臻,zhēn
臼,jiù
臾,yú
臿,chā
舀,yǎo
舀子,yǎozi
舁,yú
舂,chōng
舄,xì
舅,jiù
舅太太,jiùtàitai
舅奶奶,jiùnǎinai
舅子,jiùzi
舅老爺,jiùlǎoye
舅舅,jiùjiu
與,yǔ
與會,yùhuì
與民偕樂,yǔmínxiélè
與民同樂,yǔmíntónglè
與聞,yùwén
與賽,yùsài
興,xīng
興之所至,xìngzhīsuǒzhì
興匆匆,xìngcōngcōng
興味,xìngwèi
興味盎然,xìngwèiàngrán
興味索然,xìngwèisuǒrán
興復不淺,xìngfùbùqiǎn
興會,xìnghuì
興會淋漓,xìnghuìlínlí
興沖沖,xìngchōngchōng
興盛,xīngshèng
興盡,xìngjìn
興盡悲來,xìngjìnbēilái
興盡意闌,xìngjìnyìlán
興致,xìngzhì
興致勃勃,xìngzhìbóbó
興致勃發,xìngzhìbófā
興致盎然,xìngzhìàngrán
興致索然,xìngzhìsuǒrán
興興頭頭,xìngxìngtóutóu
興趣,xìngqù
興頭,xìngtou
興高采烈,xìnggāocǎiliè
舉,jǔ
舉一廢百,jǔyīfèibǎi
舉不勝舉,jǔbùshēngjǔ
舉世混濁,jǔshìhǔnzhuó
舉白旗,jǔbáiqí
舉監,jǔjiàn
舉薦征辟,jǔjiànzhēngpì
舊,jiù
舊地重遊,jiùdìchóngyóu
舊夢重溫,jiùmèngchóngwēn
舊攤子,jiùtānzi
舊調重彈,jiùdiàochóngtán
舊譜子,jiùpǔzi
舋,xìn
舌,shé
舌耕,shégēng
舌苔,shétāi
舌頭,shétou
舍,shè
舍己從人,shějǐcóngrén
舍己芸人,shějǐyúnrén
舍我其誰,shěwǒqíshuí
舍我復誰,shěwǒfùshuí
舍本事末,shěběnshìmò
舍本問末,shěběnwènmò
舍正從邪,shězhèngcóngxié
舍生存義,shěshēngcúnyì
舍短取長,shěduǎnqǔcháng
舍短從長,shěduǎncóngcháng
舍短用長,shěduǎnyòngcháng
舍短錄長,shěduǎnlùcháng
舍近謀遠,shějìnmóuyuǎn
舐,shì
舒,shū
舒卷,shūjuǎn
舒服,shūfu
舒筋活血,shūjīnhuóxiě
舔,tiǎn
舕,tàn
舚,tiàn
舚破,tiànpò
舚脣咂嘴,tiànchúnzāzuǐ
舚舕,tiàntàn
舛,chuǎn
舜,shùn
舜華,shùnhuā
舝,xiá
舞,wǔ
舞勺,wǔzhuó
舞弄,wǔnòng
舞文弄墨,wǔwénnòngmò
舞文弄法,wǔwénnòngfǎ
舞曲,wǔqǔ
舞筆弄文,wǔbǐnòngwén
舟,zhōu
舟車,zhōuchē
舟車勞頓,zhōuchēláodùn
舠,dāo
舡,xiāng
舢,shān
舨,bǎn
航,háng
航路標識,hánglùbiāozhì
舫,fǎng
般,bān
般弄,bānnòng
般桓,pánhuán
般樂,pánlè
般涉調,pánshèdiào
般礴,pánbó
般舟三昧,pánzhōusānmèi
般若,bōrě
般若波羅蜜多心經,bōrěbōluómìduōxīnjīng
般若湯,bōrětāng
般若經,bōrějīng
舯,zhōng
舲,líng
舳,（讀音）zhú
舳艫,zhúlú　（語音）zhóulú
舳艫千里,zhúlúqiānlǐ　（語音）zhóulúqiānlǐ
舳艫啣接,zhúlúxiánjiē　（語音）zhóulúxiánjiē
舳艫相繼,zhúlúxiāngjì　（語音）zhóulúxiāngjì
舴,zé
舵,duò
舶,bó
舷,xián
舸,gě
船,chuán
船堅炮利,chuánjiānpàolì
船腳,chuánjiǎo
船長,chuánzhǎng
舺,jiǎ
艄,shāo
艅,yú
艇,tǐng
艉,wěi
艋,měng
艎,huáng
艏,shǒu
艑,biàn
艓,dié
艖,chā
艘,sāo
艙,cāng
艛,lóu
艟,tóng
艤,yǐ
艦,jiàn
艦炮,jiànpào
艦長,jiànzhǎng
艨,méng
艫,lú
艭,shuāng
艮,gèn
良,liáng
良价,liángjiè
良將,liángjiàng
良將賢相,liángjiàngxiánxiàng
良相,liángxiàng
良莠不一,liángyǒubùyī
良莠不分,liángyǒubùfēn
良莠不齊,liángyǒubùqí
良莠淆雜,liángyǒuyáozá
良賈深藏若虛,liánggǔshēncángruòxū
艱,jiān
色,sè
色子,shǎizi
色數兒,shǎishùr
色相,sèxiàng
色調,sèdiào
色長,sèzhǎng
色養,sèyàng
艴,fú
艵,pīng
艸,cǎo
艽,qiú
艾,ài
艾如張,yìrúzhāng
艾子,àizi
艾安,yìān
艾窩窩,àiwōwo
艾菲爾鐵塔,àifēiěrtiětǎ
芃,péng
芄,wán
芅,yì
芊,qiān
芋,yù
芋頭,yùtou
芍,（語音）sháo
芍藥,sháoyào　（讀音）shuòyuè
芍藥花,sháoyàohuā
芎,（讀音）qiōng
芎藭,qiōngqióng
芏,tǔ
芐,hù
芑,qǐ
芒,máng
芒種,mángzhòng
芔,huì
芘,bì
芙,fú
芚,tún
芝,zhī
芝麻,zhīma
芝麻官,zhīmaguān
芝麻小事,zhīmaxiǎoshì
芝麻油,zhīmayóu
芝麻秸,zhīmajiē
芝麻糊,zhīmahú
芝麻綠豆,zhīmalǜdòu
芝麻醬,zhīmajiàng
芟,shān
芡,qiàn
芣,fóu
芥,jiè
芥子園畫傳,jièzǐyuánhuàzhuàn
芧,xù
芨,jí
芩,qín
芪,qí
芫,yuán
芬,fēn
芬菲,fēnfēi
芭,bā
芭樂,bālè
芭樂票,bālèpiào
芭苴,bājǔ
芮,ruì
芯,xīn
芯子,xìnzi
芰,jì
花,huā
花不溜丟,huābùliūdiū
花兒洞子,huārdòngzi
花兒針,huārzhēn
花卉冷藏處理,huāhuìlěngcángchǔlǐ
花哄,huāhong
花哨,huāshao
花奶奶,huānǎinai
花子,huāzi
花巾著目,huājīnzhuómù
花式撞球,huāshìzhuàngqiú
花式溜冰,huāshìliūbīng
花心蘿蔔,huāxīnluóbo
花扦兒,huāqiānr(變)huāqiār
花招百出,huāzhāobǎichū
花掉,huādiao
花搭著,huādazhe
花攢錦簇,huācuánjǐncù
花斑癬,huābānxiǎn
花枝兒,huāzhīr(變)huāzhēr
花架子,huājiàzi
花柵子,huāzhàzi
花栽子,huāzāizi
花樣百出,huāyàngbǎichū
花消,huāxiao
花炮,huāpào
花無百日紅,huāwúbǎirìhóng
花狸狐哨,huālihúshào
花畦,huāqí
花白,huābái
花的花,huādehuā
花相,huāxiàng
花秧兒,huāyāngr
花稍,huāshao
花簇錦攢,huācùjǐncuán
花紅柳綠,huāhóngliǔlǜ
花舌子,huāshézi
花花搭搭,huāhuadādā
花花綠綠,huāhuālǜlǜ
花莛兒,huātíngr
花蔓兒,huāmànr(變)huāmàr
花藜胡哨,huālihúshào
花衚衕,huāhútong
花裡胡哨,huālihúshào
花車,huāchē
花軸,huāzhóu
花輪子,huālúnzi
花銷,huāxiao
花馬鹽,huāmǎyán
花鬨,huāhong
花鹽,huāyán
花麗狐哨,huālihúshào
芳,fāng
芳菲,fāngfēi
芳菲節,fāngfēijié
芴,wù
芴漠,hūmò
芵,jué
芷,zhǐ
芸,yún
芸窗,yúnchuāng
芸編,yúnbiān
芸芸,yúnyún
芸芸眾生,yúnyúnzhòngshēng
芸香,yúnxiāng
芸香科,yúnxiāngkē
芹,qín
芺,yāo
芻,chú
芼,mào
芽,yá
芾,fèi
芾芾,fúfú
苄,biàn
苑,yuàn
苑結,yùjié
苒,rǎn
苓,líng
苔,tái
苕,tiáo
苕子,tiáozi
苕帚,tiáozhou
苖,dí
苗,miáo
苗兒,miáor
苗子,miáozi
苗條,miáotiao
苗頭,miáotou
苙,lì
苛,kē
苛性鹽,kēxìngyán
苛薄,kēbó
苜,mù
苞,bāo
苞子,bāozi
苟,gǒu
苡,yǐ
苣,jù
若,ruò
若喪考妣,ruòsàngkǎobǐ
若夫,ruòfú
若數家珍,ruòshǔjiāzhēn
若有所喪,ruòyǒusuǒsàng
苦,kǔ
苦中作樂,kǔzhōngzuòlè
苦參,kǔshēn
苦子,kǔzi
苦差事,kǔchāishi
苦日子,kǔrìzi
苦樂,kǔlè
苦活兒,kǔhuór
苦瓠子,kǔhùzi
苦相,kǔxiàng
苦累,kǔlèi
苦繃苦拽,kǔbēngkǔzhuài
苦腦子,kǔnǎozi
苦著臉,kǔzheliǎn
苦處,kǔchu
苦買賣,kǔmǎimai
苦車,kǔchē
苦難,kǔnàn
苧,zhù
苫,shān
苯,běn
英,yīng
英雄出少年,yīngxióngchūshàonián
苲,zhǎ
苴,jū
苶,nié
苷,gān
苹,píng
苺,méi
苻,fú
苾,bì
茁,zhuó
茁實,zhuóshi
茁長,zhuózhǎng
茂,mào
茂盛,màoshèng
茂行,màoxìng
范,fàn
茄,qié
茄克,jiākè
茄冬,jiādōng
茄子,qiézi
茄子也讓三分老,qiéziyěràngsānfēnlǎo
茅,máo
茅廁,máosi
茅廁坑,máosikēng
茅廁的磚,máosidezhuān
茅廁磚頭,máosizhuāntou
茅廁裡的石頭,máosilǐdeshítou
茆,mǎo
茆店,máodiàn
茆茨,máocí
茇,bá
茇茇,bèibèi
茈,zǐ
茈胡,cháihú
茉,mò
茉莉,mòli
茌,chí
茍,jí
茖,gé
茗,míng
茙,róng
茛,gèn
茜,qiàn
茝,chǎi
茨,cí
茩,gǒu
茪,guāng
茫,máng
茭,jiāo
茭白,jiāobái
茭白筍,jiāobáisǔn
茯,fú
茱,zhū
茲,zī
茳,jiāng
茴,huí
茵,yīn
茶,chá
茶上,cháshang
茶局子,chájúzi
茶攤兒,chátānr(變)chátār
茶水錢,cháshuiqián
茶碾子,chániǎnzi
茶缸子,chágāngzi
茶行,cháháng
茶錢,cháqian
茶食,cháshi
茶麵子,chámiànzi
茷,fá
茸,róng
茹,rú
茹毛飲血,rúmáoyǐnxiě
茺,chōng
茻,mǎng
茼,tóng
荀,xún
荂,huā
荃,quán
荃葛,quángě
荄,gāi
荅,dá
荇,xìng
荈,chuǎn
草,cǎo
草刺兒,cǎocìr(變)cǎocèr
草墊子,cǎodiànzi
草字頭兒,cǎozìtóur
草帚兒,cǎozhǒur
草底兒,cǎo　dǐr　(變)cǎo　diěr
草標兒,cǎobiāor
草甸子,cǎodiànzi
草紇繨,cǎogēda
草綠,cǎolǜ
草臺班子,cǎotáibānzi
草長鶯飛,cǎozhǎngyīngfēi
草頭方兒,cǎotóufāngr
荊,jīng
荍,qiáo
荎,chí
荏,rěn
荐,jiàn
荑,tí
荒,huāng
荒僻,huāngpì
荒功好頑,huānggōnghàowán
荓,píng
荔,lì
荳,dòu
荴,fū
荵,rěn
荷,hé
荷包,hébao
荷懼,hèjù
荷擔,hèdān
荷槍實彈,hèqiāngshídàn
荷花大少,héhuādàshào
荷蓑,hèsuō
荷重,hèzhòng
荷鋤,hèchú
荸,bí
荸薺,bíqí
荻,dí
荼,tú
荼壘,shūlǜ
荼蓼,túliǎo
荽,suī
莁,wú
莂,bié
莆,fǔ
莆仙戲,púxiānxì
莆田縣,pútiánxiàn
莉,lì
莊,zhuāng
莊家,zhuāngjia
莊稼,zhuāngjia
莊稼人,zhuāngjiarén
莊稼地,zhuāngjiadì
莊稼活兒,zhuāngjiahuór
莊稼漢,zhuāngjiahàn
莎,suō
莎喲娜拉,shāyāonàlā
莎樂美,shālèměi
莎車縣,shāchēxiàn
莎雞,shājī
莏,（讀音）suō
莒,jǔ
莓,méi
莔,méng
莕,xìng
莖,jīng
莘,shēn
莙,jùn
莛,tíng
莝,cuò
莞,wǎn
莠,yòu
莢,jiá
莧,xiàn
莨,láng
莨綢,liángchóu
莩,fú
莪,é
莫,mò
莫府,mùfǔ
莫敢誰何,mògǎnshuíhé
莫春,mùchūn
莫景,mùjǐng
莫邪,mòyé
莽,mǎng
莽撞,mǎngzhuàng
莽莽撞撞,mǎngmǎngzhuàngzhuàng
莿,cì
菀,wǎn
菀枯,yùkū
菁,jīng
菁英分子,jīngyīngfènzǐ
菂,dī
菅,jiān
菆,zōu
菇,gū
菉,（語音）lǜ
菉豆,lǜdòu
菉豆眼,lǜdòuyǎn
菊,jú
菌,jùn
菌子,jùnzi
菌血症,jùnxiězhèng
菌褶,jùnzhé
菌類培養液,jùnlèipéiyǎngyè
菑,zī
菔,bó
菖,chāng
菘,sōng
菙,chuí
菜,cài
菜包子,càibāozi
菜市口,càishikǒu
菜殼子,càikézi
菜畦,càiqí
菜盒子,càihézi
菜虎子,càihǔzi
菜鴿子,càigēzi
菝,bá
菞,lí
菟,tù
菠,bō
菡,hàn
菢,bào
菩,pú
菩提迦耶,pútíjiāyē
菫,jǐn
華,huá
華亭鶴唳,huàtínghèlì
華佗,huàtuó
華佗再世,huàtuózàishì
華元,huàyuán
華北,huáběi
華北平原,huáběipíngyuán
華嚴一乘教義分齊章,huáyányīshèngjiàoyìfēnqízhāng
華封三祝,huàfēngsānzhù
華山,huàshān
華山碑,huàshānbēi
華岳,huàyuè
華嵒,huàyán
華嶽,huàyuè
華歆,huàxīn
華池,huāchí
華盛頓,huáshèngdùn
華盛頓會議,huáshèngdùnhuìyì
華祝三多,huàzhùsānduō
華胥調,huáxūdiào
華膴,huáwǔ
華萼,huāè
華蘅芳,huàhéngfāng
華表鶴歸,huábiǎohèguī
華鄂,huāè
華陰縣,huàyīnxiàn
菰,gū
菱,líng
菱角,língjiao
菱角磨作雞頭,língjiaomózuòjītóu
菲,fěi
菲列牛排,fēilièniúpái
菲律賓新人民軍,fēilǜbīnxīnrénmínjūn
菲律賓海溝,fēilǜbīnhǎigōu
菲林,fēilín
菲洛普環,fēiluòpǔhuán
菲薄,fěibó
菲食薄衣,fěishíbóyī
菴,ān
菴菴,ànàn
菴藹,ànǎi
菶,běng
菸,yān
菸嘴兒,yān　zuǐr　(變)yān　zuěr
菹,jū
菻,lǐn
菼,tǎn
菽,shú
菽麥,shúmài
菽麥不辨,shúmàibùbiàn
萁,qí
萃,cuì
萄,táo
萆,bēi
萆薢,bìxiè
萆麻,bìmá
萇,cháng
萊,lái
萊綵北堂,láicǎiběitáng
萊菔,láifú
萋,qī
萌,méng
萌兒,méngr
萍,píng
萎,wēi
萎縮,wēisuō
萎蕤,wěiruí
萏,dàn
萐,shà
萑,huán
萩,qiū
萬,wàn
萬乘,wànshèng
萬乘之國,wànshèngzhīguó
萬乘之尊,wànshèngzhīzūn
萬兒,wànr(變)wàr
萬兒八千,wànrbāqiān(變)wàrbāqiān
萬幾,wànjī
萬把,wànba
萬石,wàndàn
萬箭攢心,wànjiàncuánxīn
萬綠叢中紅一點,wànlǜcóngzhōnghóngyīdiǎn
萬能鑰匙,wànnéngyàoshi
萬載千秋,wànzǎiqiānqiū
萬重,wànchóng
萬頃,wànqǐng
萬頃琉璃,wànqǐngliúlí
萬頭攢動,wàntóucuándòng
萭,yǔ
萯,fù
萯陽,bèiyáng
萱,xuān
萱萎北堂,xuānwēiběitáng
萲,xuān
萴,zé
萵,wō
萷,shāo
萸,yú
萹,piān
萹豆,biǎndòu
萼,è
落,luò
落下,luòxia
落不是,làobùshi
落不的,làobùde
落了,làole
落了灶,luòlezào
落作,làozuō
落便宜,luòpiányí
落個直過兒,luògezhíguòr
落價,làojià
落兒,làor
落地,làodì
落地罩,làodizhào
落坎兒,luòkǎnr(變)luòkǎr
落場,làcháng
落塵量,luòchénliàng
落子,làozi
落子館,làoziguǎn
落帳,làozhàng
落度,luòduò
落忍,làorěn
落枕,làozhěn
落架,làojià
落槽,làocáo
落炕,làokàng
落白事,làobáishì
落神,làshén
落禮兒,là　lǐr　(變)là　liěr
落翅仔,luòchìzǐ
落腳,luòjiǎo
落腳貨,làojiǎohuò
落腳點,luòjiǎodiǎn
落著臉,luòzheliǎn
落薄,luòbó
落褒貶,làobāobian
落解粥,luòjiězhōu
落話,làhuà
落難,luònàn
落魄,luòtuò
落魄不羈,luòtuòbùjī
葄,zuò
葄枕,zuòzhèn
葅,jū
葆,bǎo
葉,yè
葉公好龍,shègōnghàolóng
葉子,yèzi
葉子戲,yèzixì
葉子菸,yèziyān
葉盛蘭,yèshènglán
葉綠素,yèlǜsù
葉綠體,yèlǜtǐ
葉綠體基質,yèlǜtǐjīzhí
葉縣,shèxiàn
葉軸,yèzhóu
葉面對稱,yèmiànduìchèng　（又音）yèmiànduìchèn
葍,fú
葑,fēng
葒,hóng
葖,tú
著,zhù
著三不著兩,zháosānbùzháoliǎng
著人,zhuórén
著先鞭,zhuóxiānbiān
著力,zhuólì
著即,zhuójí
著地,zhuóde
著墨,zhuómò
著實,zhuóshí
著己,zhuójǐ
著床,zhuóchuáng
著志,zhuózhì
著忙,zháománg
著急,zhāojí
著惱,zhuónǎo
著想,zháoxiǎng
著意,zhuóyì
著慌,zhāohuāng
著手,zhuóshǒu
著手回春,zhuóshǒuhuíchūn
著手成春,zhuóshǒuchéngchūn
著手腳,zháoshǒujiǎo
著摸,zhuómō
著數,zhuóshǔ
著棋,zhuóqí
著水,zhuóshuǐ
著涼,zhāoliáng
著火,zháohuǒ
著火點,zháohuǒdiǎn
著然,zhuórán
著甚,zhuóshén
著甚來由,zhuóshénláiyóu
著生植物,zhuóshēngzhíwù
著用,zháoyòng
著疼熱,zhuóténgrè
著眼,zháoyǎn
著眼點,zháoyǎndiǎn
著筆,zhuóbǐ
著糞佛頭,zhuófènfótóu
著緊,zhuójǐn
著肉,zháoròu
著腳,zhuójiǎo
著腳書樓,zhuójiǎoshūlóu
著色,zhuósè
著花,zhuóhuā
著莫,zhuómò
著落,zhuóluo
著著失敗,zhuózhuóshībài
著著進逼,zhuózhuójìnbī
著處,zhuóchù
著衣,zhuóyī
著衣鏡,zhuóyījìng
著跡,zháojī
